dbLevel,dominantFrequency,variance,spikeCount,label
83.77,2574.3,11.0,19,NON_HUMAN
105.65,4508.3,15.04,10,NON_HUMAN
81.93,4916.93,30.96,19,NON_HUMAN
85.7,4582.2,37.86,18,NON_HUMAN
96.36,4882.83,39.33,25,NON_HUMAN
114.63,1088.69,23.65,17,NON_HUMAN
96.45,3298.38,29.47,18,NON_HUMAN
48.98,217.02,3.8,1,HUMAN
45.69,208.85,3.5,2,HUMAN
118.77,3286.27,27.03,19,NON_HUMAN
114.35,4431.56,17.87,11,NON_HUMAN
88.89,1067.15,10.42,23,NON_HUMAN
69.33,257.23,7.74,1,HUMAN
94.19,3801.93,35.29,17,NON_HUMAN
66.71,82.91,6.82,4,HUMAN
50.5,262.66,6.1,4,HUMAN
63.92,112.47,7.26,2,HUMAN
118.15,2148.48,26.27,10,NON_HUMAN
48.55,142.72,6.66,5,HUMAN
99.3,2946.37,20.08,17,NON_HUMAN
93.05,1264.45,12.74,11,NON_HUMAN
74.92,196.91,3.23,2,HUMAN
116.94,4925.61,26.68,23,NON_HUMAN
60.6,103.31,2.92,4,HUMAN
116.6,3067.27,26.15,15,NON_HUMAN
64.5,258.34,1.65,3,HUMAN
49.82,242.38,7.47,3,HUMAN
114.11,1516.81,32.09,16,NON_HUMAN
113.04,4182.27,30.3,16,NON_HUMAN
46.98,177.67,1.96,4,HUMAN
46.31,95.11,5.02,2,HUMAN
99.34,3494.07,29.42,14,NON_HUMAN
72.47,150.79,1.04,2,HUMAN
67.75,160.06,1.94,3,HUMAN
54.17,200.66,4.73,2,HUMAN
74.88,247.51,3.8,1,HUMAN
45.12,254.5,5.51,1,HUMAN
101.53,3206.02,15.27,20,NON_HUMAN
53.47,164.75,7.4,3,HUMAN
49.89,164.74,1.61,4,HUMAN
85.23,2500.87,24.29,17,NON_HUMAN
47.7,182.23,1.66,1,HUMAN
104.86,1409.69,11.08,18,NON_HUMAN
105.17,1034.07,32.46,10,NON_HUMAN
93.35,3005.57,36.43,13,NON_HUMAN
90.92,3257.32,20.14,21,NON_HUMAN
100.14,2923.25,19.04,12,NON_HUMAN
90.12,4229.65,23.91,20,NON_HUMAN
93.22,3416.79,31.61,17,NON_HUMAN
52.9,158.17,5.97,5,HUMAN
95.2,3378.59,20.39,11,NON_HUMAN
64.6,115.39,1.47,1,HUMAN
108.04,1514.22,28.14,14,NON_HUMAN
86.3,1687.3,33.52,14,NON_HUMAN
80.61,2895.73,13.37,18,NON_HUMAN
84.59,2960.39,27.42,18,NON_HUMAN
49.95,121.94,2.87,4,HUMAN
104.45,3625.96,18.96,20,NON_HUMAN
53.57,134.13,7.2,4,HUMAN
100.62,2172.34,37.39,15,NON_HUMAN
110.42,1981.14,12.62,15,NON_HUMAN
116.01,2983.83,35.43,14,NON_HUMAN
53.94,267.63,7.79,3,HUMAN
119.85,4329.74,23.43,15,NON_HUMAN
69.87,142.35,2.62,3,HUMAN
64.02,217.82,3.29,1,HUMAN
95.75,4690.74,35.81,13,NON_HUMAN
47.21,123.85,1.7,4,HUMAN
116.64,1633.81,15.67,17,NON_HUMAN
90.3,3824.17,18.35,10,NON_HUMAN
48.74,110.68,7.17,3,HUMAN
55.77,135.54,4.3,3,HUMAN
113.71,4344.3,16.26,12,NON_HUMAN
45.68,255.09,2.92,2,HUMAN
109.28,1809.94,39.73,25,NON_HUMAN
119.8,4560.73,15.03,23,NON_HUMAN
59.73,286.55,1.83,5,HUMAN
109.11,4250.53,30.57,22,NON_HUMAN
91.79,1224.63,19.93,10,NON_HUMAN
46.7,234.97,1.81,5,HUMAN
47.97,171.83,5.5,5,HUMAN
73.11,298.94,4.1,1,HUMAN
118.87,2028.64,38.32,14,NON_HUMAN
94.81,1482.18,34.24,14,NON_HUMAN
118.49,2185.57,33.67,18,NON_HUMAN
105.27,3272.57,30.44,11,NON_HUMAN
91.01,2327.37,31.12,11,NON_HUMAN
94.2,1158.72,13.05,16,NON_HUMAN
88.2,3840.74,10.32,23,NON_HUMAN
74.58,217.41,1.45,2,HUMAN
104.29,4721.74,35.54,24,NON_HUMAN
81.55,1387.15,25.79,21,NON_HUMAN
81.58,2955.15,39.82,12,NON_HUMAN
71.44,128.62,3.98,5,HUMAN
99.91,3749.11,24.16,23,NON_HUMAN
118.24,4994.22,30.93,24,NON_HUMAN
98.93,4648.65,17.5,11,NON_HUMAN
89.25,3275.85,31.84,23,NON_HUMAN
111.44,2604.75,24.54,20,NON_HUMAN
64.95,154.55,1.74,1,HUMAN
64.13,88.48,4.7,3,HUMAN
70.14,188.83,6.39,5,HUMAN
113.66,2894.48,16.57,24,NON_HUMAN
70.2,283.9,3.5,4,HUMAN
82.73,3016.65,14.16,14,NON_HUMAN
53.23,237.31,5.88,2,HUMAN
48.6,185.81,2.66,1,HUMAN
83.87,1470.52,39.33,13,NON_HUMAN
113.11,3410.28,35.58,14,NON_HUMAN
113.03,3202.48,25.13,22,NON_HUMAN
58.06,179.52,2.08,3,HUMAN
91.4,1675.67,25.05,24,NON_HUMAN
49.95,294.38,7.11,2,HUMAN
101.77,3449.87,23.96,16,NON_HUMAN
59.56,221.25,1.73,5,HUMAN
57.29,141.45,5.23,2,HUMAN
116.83,1536.1,16.48,11,NON_HUMAN
99.55,3505.16,32.96,15,NON_HUMAN
110.01,4655.48,14.44,12,NON_HUMAN
93.18,1337.46,12.9,14,NON_HUMAN
68.7,151.02,7.8,5,HUMAN
70.73,196.74,5.7,3,HUMAN
95.23,3524.29,18.24,22,NON_HUMAN
96.55,4099.9,27.09,14,NON_HUMAN
108.82,3574.65,35.9,25,NON_HUMAN
93.75,1309.07,35.84,18,NON_HUMAN
47.31,170.08,6.14,3,HUMAN
116.09,2259.96,10.57,22,NON_HUMAN
71.82,100.81,5.62,4,HUMAN
47.78,266.98,7.92,5,HUMAN
84.2,2226.88,35.27,20,NON_HUMAN
118.93,4961.97,18.7,24,NON_HUMAN
69.54,84.41,7.95,3,HUMAN
113.81,3863.07,24.03,16,NON_HUMAN
111.34,3661.31,14.01,21,NON_HUMAN
112.02,1424.31,31.96,14,NON_HUMAN
57.49,201.25,5.34,2,HUMAN
91.0,4695.78,33.72,20,NON_HUMAN
55.29,147.54,7.72,2,HUMAN
59.16,223.76,5.79,4,HUMAN
50.56,119.13,7.76,4,HUMAN
60.76,277.5,7.89,5,HUMAN
87.42,3693.91,20.72,13,NON_HUMAN
101.94,3684.92,28.58,10,NON_HUMAN
59.76,149.95,7.06,4,HUMAN
46.32,296.17,6.13,3,HUMAN
99.83,1463.22,31.68,17,NON_HUMAN
97.22,4296.27,15.47,13,NON_HUMAN
119.18,3601.0,27.86,23,NON_HUMAN
70.75,250.72,1.86,3,HUMAN
70.4,231.29,4.64,5,HUMAN
46.77,94.49,2.17,5,HUMAN
46.82,152.47,2.46,4,HUMAN
92.39,1106.57,25.3,12,NON_HUMAN
57.15,116.78,7.19,1,HUMAN
62.35,257.08,2.4,4,HUMAN
65.81,189.32,1.64,2,HUMAN
48.88,191.39,5.43,5,HUMAN
67.4,93.52,4.27,3,HUMAN
58.37,226.77,5.27,4,HUMAN
103.52,1994.8,16.38,13,NON_HUMAN
97.47,4106.12,14.98,17,NON_HUMAN
71.13,183.11,6.0,5,HUMAN
107.53,1770.53,13.11,17,NON_HUMAN
118.17,2898.7,20.23,13,NON_HUMAN
48.82,90.78,7.08,3,HUMAN
54.78,171.48,5.63,4,HUMAN
84.71,3483.34,14.75,10,NON_HUMAN
96.17,3641.65,20.5,20,NON_HUMAN
107.06,4364.79,27.11,10,NON_HUMAN
74.64,249.54,2.42,5,HUMAN
98.37,3101.14,29.4,18,NON_HUMAN
82.1,4572.16,38.69,23,NON_HUMAN
98.42,1951.34,27.4,14,NON_HUMAN
84.44,3937.98,12.51,13,NON_HUMAN
45.97,240.62,1.5,3,HUMAN
90.75,4513.44,22.44,12,NON_HUMAN
67.14,227.03,3.93,1,HUMAN
59.47,198.18,3.75,1,HUMAN
72.92,91.65,6.84,2,HUMAN
82.73,2653.49,18.79,13,NON_HUMAN
118.64,4571.94,11.2,19,NON_HUMAN
61.07,220.31,5.92,4,HUMAN
99.76,4910.98,32.36,24,NON_HUMAN
63.64,281.71,5.67,1,HUMAN
113.02,2323.66,19.46,16,NON_HUMAN
50.26,264.14,5.63,5,HUMAN
101.23,2977.9,39.15,14,NON_HUMAN
118.74,2263.55,12.95,10,NON_HUMAN
53.95,232.5,7.86,1,HUMAN
86.67,4236.76,26.34,22,NON_HUMAN
115.14,4170.02,26.02,13,NON_HUMAN
57.38,130.4,3.56,4,HUMAN
61.71,275.52,4.23,2,HUMAN
115.69,2577.21,23.65,20,NON_HUMAN
100.23,3472.15,10.5,21,NON_HUMAN
48.89,152.34,4.11,3,HUMAN
57.22,202.96,2.23,5,HUMAN
100.3,2881.08,29.45,24,NON_HUMAN
53.04,117.53,3.21,1,HUMAN
51.01,283.18,2.95,5,HUMAN
56.6,199.14,1.04,1,HUMAN
53.12,260.83,1.27,3,HUMAN
104.0,2925.1,14.05,17,NON_HUMAN
98.72,2617.48,24.51,25,NON_HUMAN
116.27,2327.55,29.32,11,NON_HUMAN
87.17,2925.93,25.43,12,NON_HUMAN
115.06,2969.49,19.36,20,NON_HUMAN
45.94,162.0,2.71,1,HUMAN
112.3,2699.65,22.37,20,NON_HUMAN
64.4,284.08,4.27,5,HUMAN
74.88,174.43,6.06,5,HUMAN
62.35,269.18,3.26,1,HUMAN
64.89,138.04,1.05,4,HUMAN
67.89,231.89,2.72,1,HUMAN
99.73,3980.78,25.52,16,NON_HUMAN
92.77,4932.2,24.46,11,NON_HUMAN
113.34,2015.39,28.38,21,NON_HUMAN
104.68,1334.44,17.59,18,NON_HUMAN
85.44,4719.59,20.46,12,NON_HUMAN
63.38,238.22,6.51,5,HUMAN
84.05,4328.92,27.84,15,NON_HUMAN
110.04,4894.53,13.85,14,NON_HUMAN
51.86,295.81,6.07,5,HUMAN
95.44,3918.47,19.51,15,NON_HUMAN
108.96,4744.79,36.45,14,NON_HUMAN
113.13,1097.04,12.26,17,NON_HUMAN
45.07,82.51,4.28,5,HUMAN
93.98,4751.12,34.36,22,NON_HUMAN
88.43,1133.48,24.57,13,NON_HUMAN
94.52,1303.95,26.39,23,NON_HUMAN
70.45,163.81,7.26,2,HUMAN
102.6,1842.2,26.02,10,NON_HUMAN
62.87,283.87,5.08,3,HUMAN
85.03,4353.38,27.77,15,NON_HUMAN
97.55,4638.9,39.27,25,NON_HUMAN
112.89,4079.8,37.54,14,NON_HUMAN
61.46,128.48,7.58,1,HUMAN
111.53,4341.08,36.03,22,NON_HUMAN
73.87,81.51,6.01,4,HUMAN
106.57,2592.72,14.33,16,NON_HUMAN
110.73,3793.49,29.04,14,NON_HUMAN
67.92,260.95,7.96,3,HUMAN
108.01,1176.24,32.28,24,NON_HUMAN
85.55,3975.84,19.33,17,NON_HUMAN
50.5,216.85,4.37,2,HUMAN
54.04,89.32,7.95,1,HUMAN
47.77,232.07,2.41,4,HUMAN
87.12,1641.07,26.47,21,NON_HUMAN
87.93,3800.23,22.97,23,NON_HUMAN
90.08,3020.2,30.46,25,NON_HUMAN
96.99,4054.71,24.69,14,NON_HUMAN
51.99,258.08,4.31,2,HUMAN
61.18,187.27,6.0,4,HUMAN
58.72,134.15,6.55,1,HUMAN
56.99,213.29,4.62,5,HUMAN
67.92,221.91,4.32,3,HUMAN
57.98,105.03,7.8,2,HUMAN
80.33,1462.01,37.88,20,NON_HUMAN
69.66,103.16,1.22,3,HUMAN
88.99,2550.88,22.35,15,NON_HUMAN
50.08,165.34,3.32,1,HUMAN
105.92,3415.69,14.96,24,NON_HUMAN
115.62,4887.78,27.67,20,NON_HUMAN
47.84,132.43,1.23,2,HUMAN
68.83,269.46,4.74,4,HUMAN
45.69,110.33,1.97,5,HUMAN
83.45,3526.69,13.85,22,NON_HUMAN
83.46,4012.38,20.86,25,NON_HUMAN
52.37,238.52,4.65,4,HUMAN
103.81,3050.0,36.08,12,NON_HUMAN
90.12,3041.69,33.1,11,NON_HUMAN
113.47,2638.85,28.18,23,NON_HUMAN
46.79,201.52,6.81,2,HUMAN
118.05,3641.55,37.1,20,NON_HUMAN
111.16,4142.64,35.84,17,NON_HUMAN
91.07,4619.29,29.49,11,NON_HUMAN
104.61,2501.64,26.42,25,NON_HUMAN
80.4,1031.03,24.85,20,NON_HUMAN
74.51,246.75,1.97,1,HUMAN
90.58,3180.39,11.7,23,NON_HUMAN
92.45,2858.86,38.08,19,NON_HUMAN
60.27,235.41,5.8,1,HUMAN
95.46,1246.4,20.55,21,NON_HUMAN
87.91,2996.97,28.87,22,NON_HUMAN
104.89,3696.22,36.61,23,NON_HUMAN
72.24,168.64,4.32,3,HUMAN
90.67,2273.1,25.76,21,NON_HUMAN
68.04,164.43,2.05,4,HUMAN
117.03,1241.56,37.16,18,NON_HUMAN
56.04,260.14,1.38,4,HUMAN
102.99,4185.64,39.77,17,NON_HUMAN
71.46,296.81,4.64,1,HUMAN
113.76,2991.17,18.69,20,NON_HUMAN
107.63,3154.28,27.11,21,NON_HUMAN
70.31,169.47,2.68,4,HUMAN
98.86,2374.51,37.44,23,NON_HUMAN
99.34,1112.43,28.47,21,NON_HUMAN
59.87,237.85,2.61,4,HUMAN
47.52,270.67,7.44,5,HUMAN
53.44,169.57,6.45,2,HUMAN
86.45,4866.31,10.81,16,NON_HUMAN
70.71,293.52,1.05,1,HUMAN
106.07,4379.2,15.01,13,NON_HUMAN
95.12,4405.9,34.71,13,NON_HUMAN
93.37,1974.54,29.27,24,NON_HUMAN
88.39,1504.67,32.45,20,NON_HUMAN
70.92,199.17,4.44,2,HUMAN
104.7,1918.15,11.63,13,NON_HUMAN
67.54,116.95,7.19,3,HUMAN
101.93,3945.54,33.85,20,NON_HUMAN
68.36,114.32,1.03,3,HUMAN
57.59,194.63,7.16,3,HUMAN
51.5,192.76,3.1,2,HUMAN
116.15,1468.47,37.04,22,NON_HUMAN
93.98,4345.57,16.64,24,NON_HUMAN
114.16,1892.27,16.54,25,NON_HUMAN
67.52,95.12,2.33,4,HUMAN
52.26,281.14,1.52,4,HUMAN
56.26,176.7,7.74,1,HUMAN
93.29,4907.4,26.73,14,NON_HUMAN
87.64,2884.61,37.5,11,NON_HUMAN
58.19,162.23,5.87,1,HUMAN
47.6,229.55,7.83,3,HUMAN
60.36,231.34,4.29,4,HUMAN
92.93,4502.59,15.7,21,NON_HUMAN
68.42,215.98,6.08,1,HUMAN
85.11,3798.11,34.63,22,NON_HUMAN
60.33,140.73,3.14,5,HUMAN
64.75,121.5,1.04,4,HUMAN
73.86,166.97,5.58,1,HUMAN
70.29,138.67,7.69,4,HUMAN
115.29,4751.11,35.58,18,NON_HUMAN
106.74,3096.53,37.5,15,NON_HUMAN
102.47,3919.85,36.04,12,NON_HUMAN
80.48,2449.4,35.81,10,NON_HUMAN
92.02,2105.38,28.22,19,NON_HUMAN
90.13,3468.64,23.31,23,NON_HUMAN
68.4,139.31,2.78,5,HUMAN
115.51,2451.57,20.89,13,NON_HUMAN
59.4,171.54,7.15,5,HUMAN
115.71,3137.6,30.45,13,NON_HUMAN
102.56,4676.57,30.17,14,NON_HUMAN
48.22,116.82,2.66,2,HUMAN
58.6,187.24,5.09,4,HUMAN
102.26,2733.11,13.54,10,NON_HUMAN
59.13,90.03,3.45,3,HUMAN
117.34,2118.86,11.34,11,NON_HUMAN
92.8,4676.44,15.37,12,NON_HUMAN
67.99,274.62,5.42,2,HUMAN
51.61,169.97,7.98,2,HUMAN
69.21,200.91,4.56,1,HUMAN
89.86,2056.18,27.82,16,NON_HUMAN
49.57,143.33,7.24,1,HUMAN
114.57,4279.55,38.0,11,NON_HUMAN
71.57,139.25,3.82,3,HUMAN
114.39,3682.16,11.15,10,NON_HUMAN
73.65,117.79,6.37,4,HUMAN
87.87,2362.17,19.82,20,NON_HUMAN
68.31,106.58,3.7,3,HUMAN
45.4,147.24,4.55,2,HUMAN
98.4,3836.97,39.02,20,NON_HUMAN
93.63,4499.37,21.77,13,NON_HUMAN
90.78,2475.36,16.57,12,NON_HUMAN
73.99,261.02,5.54,1,HUMAN
62.34,126.18,3.48,2,HUMAN
55.9,298.81,4.35,2,HUMAN
59.37,246.35,4.63,3,HUMAN
73.09,235.47,5.11,5,HUMAN
65.29,102.25,1.12,2,HUMAN
71.75,137.91,6.28,4,HUMAN
103.89,3960.37,22.35,19,NON_HUMAN
92.24,2999.76,18.37,20,NON_HUMAN
113.71,4872.84,28.4,16,NON_HUMAN
84.61,3291.14,10.3,12,NON_HUMAN
105.91,3494.36,29.66,23,NON_HUMAN
68.8,176.53,5.17,1,HUMAN
95.51,4031.78,26.06,25,NON_HUMAN
64.84,230.85,7.83,5,HUMAN
49.16,166.96,5.9,2,HUMAN
89.48,4234.59,29.79,12,NON_HUMAN
118.36,2703.37,14.7,15,NON_HUMAN
73.15,85.11,1.14,4,HUMAN
69.09,104.65,1.38,4,HUMAN
119.25,1098.65,12.41,14,NON_HUMAN
54.71,225.44,1.65,2,HUMAN
74.94,92.54,7.23,2,HUMAN
60.99,139.28,3.67,1,HUMAN
67.85,270.29,4.55,2,HUMAN
53.32,168.31,6.11,2,HUMAN
67.64,123.94,4.8,1,HUMAN
47.72,219.73,2.49,5,HUMAN
53.05,131.85,3.37,3,HUMAN
67.34,152.78,5.54,5,HUMAN
63.09,190.72,6.18,1,HUMAN
100.2,3200.57,14.52,21,NON_HUMAN
115.15,3249.58,28.15,24,NON_HUMAN
63.27,163.27,1.87,2,HUMAN
45.89,192.42,4.23,4,HUMAN
106.23,1443.69,35.84,18,NON_HUMAN
68.54,104.4,2.35,4,HUMAN
88.13,3450.75,15.69,22,NON_HUMAN
62.39,292.54,5.6,1,HUMAN
96.94,4589.41,31.61,23,NON_HUMAN
108.71,3753.33,19.87,17,NON_HUMAN
45.58,219.71,1.21,4,HUMAN
69.56,229.02,4.62,1,HUMAN
48.63,114.81,1.32,5,HUMAN
112.16,3090.51,13.14,25,NON_HUMAN
82.41,2762.01,14.85,18,NON_HUMAN
95.81,3530.49,22.95,24,NON_HUMAN
86.74,2982.72,13.92,20,NON_HUMAN
52.01,187.89,6.76,2,HUMAN
80.61,2321.95,14.86,25,NON_HUMAN
108.75,2341.02,19.46,20,NON_HUMAN
99.36,3614.96,27.39,22,NON_HUMAN
55.42,201.47,3.11,1,HUMAN
59.88,230.36,3.96,5,HUMAN
105.4,3203.45,33.36,12,NON_HUMAN
99.54,4392.44,12.91,16,NON_HUMAN
72.03,230.23,3.82,2,HUMAN
46.37,276.64,2.55,1,HUMAN
81.42,2457.58,18.64,11,NON_HUMAN
52.81,212.59,5.09,2,HUMAN
84.19,1261.51,37.35,25,NON_HUMAN
64.29,256.15,6.99,5,HUMAN
53.1,151.53,6.66,1,HUMAN
108.64,1895.43,22.23,10,NON_HUMAN
107.26,3066.96,28.28,22,NON_HUMAN
66.18,107.19,2.19,5,HUMAN
54.12,281.43,4.55,1,HUMAN
91.17,3075.03,13.08,25,NON_HUMAN
72.49,148.71,6.64,4,HUMAN
81.71,1289.18,21.53,25,NON_HUMAN
91.45,4889.62,12.16,21,NON_HUMAN
48.51,116.67,7.97,4,HUMAN
86.85,1360.43,19.46,18,NON_HUMAN
109.21,4694.11,28.92,25,NON_HUMAN
62.26,171.91,7.65,4,HUMAN
98.74,1806.97,31.04,22,NON_HUMAN
115.87,2182.2,33.28,19,NON_HUMAN
62.26,226.34,1.98,3,HUMAN
93.77,3133.94,16.37,18,NON_HUMAN
74.18,283.71,7.23,5,HUMAN
55.37,83.64,7.74,5,HUMAN
118.27,4484.39,16.19,19,NON_HUMAN
70.23,292.62,5.53,1,HUMAN
64.39,194.13,2.76,1,HUMAN
